MonthlySites,ContinuousSites
Boom,rup02e-SF-CM
Dender,den02a-SF-CM
Kleine Nete,knt03a-SF-CM
Kruibeke,zes24a-SF-CM
Kruibeke,zes28a-SF-CM
Liefkenshoek,zes07g-SF-CMO
Lippenbroek,zes39c-SF-CM
Melle,zes57a-1066
Melle,zes57a-SF-CM
Schellebelle,zes54m-SF-CM
Niel,rup00a-1066
Grens,zes01a-SF-CM
Liefkenshoek,zes07g-SF-CMB
Liefkenshoek,zes09x-SF-CM
Antwerpen,zes19a-SF-CMB
Steendorp,zes29f-1066

